Victoria in Future 2019 (VIF2019) Population and Household Projections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: David Sykes (DELWP) 03 8683 0936 | david.sykes@delwp.vic.gov.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households by household type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for Statistical Areas from Level 2 to Level 4 (SA2, SA3, SA4), Greater Capital City Statistical Areas (GCCSA) and Victoria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,As at June 30th 2016,,,,,,,,As at June 30th 2021,,,,,,,,As at June 30th 2026,,,,,,,,As at June 30th 2031,,,,,,,,As at June 30th 2036,,,,,,
2RVIC,217,21703,217031475,SA2,Corangamite - South,913,926,254,34,56,762,"2,945",,851,980,246,34,55,796,"2,961",,816,"1,033",236,30,57,824,"2,997",,796,"1,055",240,28,57,864,"3,040",,785,"1,056",250,27,56,912,"3,086"
2RVIC,217,21703,217031476,SA2,Otway,326,559,154,2,56,623,"1,721",,308,596,154,3,60,649,"1,770",,301,611,157,2,60,664,"1,796",,303,614,161,2,59,679,"1,819",,315,601,175,3,55,686,"1,834"
2RVIC,217,21704,217041477,SA2,Moyne - East,848,843,226,24,51,694,"2,686",,835,883,225,25,52,724,"2,743",,844,934,233,26,54,770,"2,860",,865,974,249,28,57,817,"2,989",,900,985,263,26,57,863,"3,094"
2RVIC,217,21704,217041478,SA2,Moyne - West,"1,173","1,299",328,31,85,"1,032","3,949",,"1,208","1,403",341,35,92,"1,115","4,193",,"1,257","1,494",359,38,95,"1,207","4,451",,"1,311","1,575",384,41,105,"1,308","4,725",,"1,379","1,645",411,42,112,"1,410","5,001"
2RVIC,217,21704,217041479,SA2,Warrnambool - North,"2,518","2,400","1,070",83,329,"2,406","8,806",,"2,640","2,636","1,119",87,343,"2,652","9,477",,"2,782","2,829","1,175",89,346,"2,887","10,109",,"2,923","2,990","1,238",93,366,"3,121","10,731",,"3,054","3,134","1,303",96,387,"3,351","11,326"
2RVIC,217,21704,217041480,SA2,Warrnambool - South,"1,327","1,577",554,52,288,"1,977","5,775",,"1,326","1,677",555,51,281,"2,056","5,948",,"1,308","1,762",555,50,266,"2,144","6,086",,"1,285","1,836",558,52,267,"2,251","6,251",,"1,268","1,897",571,52,273,"2,362","6,422"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2RVIC,201,20101,,SA3,Ballarat,"11,892","11,082","5,304",439,"2,144","13,005","43,865",,"13,047","12,638","5,743",471,"2,250","14,479","48,628",,"14,372","14,176","6,275",499,"2,363","16,120","53,804",,"15,712","15,582","6,876",536,"2,552","17,853","59,111",,"17,048","16,926","7,520",569,"2,724","19,627","64,415"
2RVIC,201,20102,,SA3,Creswick - Daylesford - Ballan,"3,353","3,833","1,121",45,291,"3,548","12,190",,"3,407","4,207","1,153",48,311,"3,894","13,021",,"3,468","4,504","1,202",53,327,"4,280","13,833",,"3,550","4,722","1,271",54,345,"4,673","14,616",,"3,673","4,885","1,329",54,349,"5,044","15,333"
2RVIC,201,20103,,SA3,Maryborough - Pyrenees,"2,574","3,474","1,137",49,315,"3,724","11,274",,"2,627","3,686","1,157",50,332,"3,972","11,824",,"2,703","3,824","1,195",51,344,"4,195","12,313",,"2,790","3,915","1,252",56,351,"4,423","12,786",,"2,875","3,977","1,309",56,355,"4,635","13,208"
2RVIC,202,20201,,SA3,Bendigo,"10,555","10,307","5,104",446,"1,780","11,728","39,921",,"11,567","11,492","5,482",473,"1,853","12,756","43,622",,"12,807","12,684","5,960",496,"1,917","13,886","47,750",,"14,039","13,833","6,480",527,"2,042","15,105","52,026",,"15,280","15,027","7,018",549,"2,156","16,358","56,388"
2RVIC,202,20202,,SA3,Heathcote - Castlemaine - Kyneton,"5,631","6,147","1,909",142,569,"5,541","19,939",,"6,001","6,821","2,027",154,616,"6,146","21,765",,"6,359","7,321","2,146",163,641,"6,716","23,346",,"6,718","7,739","2,310",171,667,"7,247","24,852",,"7,072","8,143","2,482",176,702,"7,776","26,350"
2RVIC,202,20203,,SA3,Loddon - Elmore,"1,294","1,615",404,27,128,"1,547","5,016",,"1,276","1,697",405,28,138,"1,595","5,138",,"1,271","1,738",411,30,139,"1,653","5,243",,"1,289","1,745",416,29,140,"1,723","5,342",,"1,316","1,729",432,26,138,"1,767","5,408"
2RVIC,203,20301,,SA3,Barwon - West,"2,824","2,129",610,60,102,"1,211","6,937",,"3,133","2,471",688,69,113,"1,411","7,885",,"3,498","2,840",782,76,126,"1,633","8,955",,"3,875","3,194",890,84,140,"1,890","10,074",,"4,223","3,550",991,95,153,"2,159","11,171"
2RVIC,203,20302,,SA3,Geelong,"22,304","20,016","9,505",851,"3,261","22,603","78,541",,"24,814","22,785","10,353",946,"3,635","25,098","87,631",,"27,606","25,284","11,313","1,012","3,868","27,725","96,808",,"30,365","27,534","12,437","1,079","4,116","30,612","106,143",,"33,170","30,066","13,928","1,164","4,454","34,053","116,835"
2RVIC,203,20303,,SA3,Surf Coast - Bellarine Peninsula,"9,194","9,735","2,705",163,767,"7,553","30,118",,"10,882","11,826","3,165",198,912,"9,143","36,126",,"12,383","13,686","3,618",230,"1,040","10,757","41,714",,"13,644","15,463","4,091",266,"1,203","12,474","47,140",,"14,491","16,972","4,473",295,"1,344","13,997","51,572"
2RVIC,204,20401,,SA3,Upper Goulburn Valley,"5,900","7,281","2,264",141,611,"7,047","23,245",,"6,153","8,050","2,381",156,650,"7,840","25,231",,"6,415","8,699","2,537",172,691,"8,625","27,140",,"6,736","9,230","2,713",183,743,"9,386","28,991",,"7,073","9,658","2,901",192,784,"10,044","30,653"
2RVIC,204,20402,,SA3,Wangaratta - Benalla,"4,960","6,314","2,052",165,553,"6,374","20,418",,"4,976","6,743","2,063",171,582,"6,753","21,289",,"5,010","7,094","2,086",179,601,"7,143","22,112",,"5,119","7,329","2,138",184,620,"7,555","22,945",,"5,257","7,487","2,190",186,630,"7,947","23,698"
2RVIC,204,20403,,SA3,Wodonga - Alpine,"8,079","8,992","3,242",203,855,"8,198","29,568",,"8,537","9,891","3,443",219,924,"9,032","32,048",,"9,080","10,847","3,700",238,987,"10,070","34,923",,"9,683","11,699","4,015",258,"1,081","11,167","37,903",,"10,288","12,498","4,315",276,"1,169","12,288","40,835"
2RVIC,205,20501,,SA3,Baw Baw,"5,865","6,269","2,150",142,468,"5,167","20,061",,"6,550","7,223","2,413",157,530,"5,969","22,841",,"7,203","8,129","2,692",171,586,"6,867","25,648",,"7,915","9,066","3,027",198,671,"7,872","28,750",,"8,622","9,988","3,360",219,752,"8,876","31,817"
2RVIC,205,20502,,SA3,Gippsland - East,"4,456","7,128","1,952",115,543,"6,486","20,680",,"4,575","7,749","2,013",116,585,"7,047","22,085",,"4,711","8,212","2,092",120,610,"7,625","23,370",,"4,927","8,595","2,233",125,654,"8,245","24,780",,"5,175","8,937","2,372",131,694,"8,819","26,129"
2RVIC,205,20503,,SA3,Gippsland - South West,"6,489","9,055","2,670",169,685,"8,962","28,030",,"6,730","10,172","2,820",185,749,"10,029","30,684",,"6,911","11,201","2,956",203,804,"11,164","33,237",,"7,204","12,112","3,155",221,886,"12,329","35,906",,"7,550","12,911","3,336",236,955,"13,431","38,420"
2RVIC,205,20504,,SA3,Latrobe Valley,"8,047","8,520","4,118",260,941,"10,155","32,039",,"8,164","9,158","4,184",259,942,"10,826","33,532",,"8,325","9,697","4,280",261,939,"11,585","35,088",,"8,494","10,218","4,433",266,972,"12,415","36,799",,"8,668","10,697","4,600",274,"1,011","13,284","38,534"
2RVIC,205,20505,,SA3,Wellington,"4,806","5,601","1,741",132,502,"5,541","18,324",,"4,914","5,948","1,782",133,512,"5,923","19,213",,"5,037","6,232","1,845",134,511,"6,379","20,138",,"5,170","6,523","1,934",141,529,"6,896","21,192",,"5,280","6,795","2,028",145,548,"7,388","22,184"
2GMEL,206,20601,,SA3,Brunswick - Coburg,"9,500","9,902","2,883",776,"5,116","11,058","39,236",,"11,008","11,446","3,298",860,"5,630","12,774","45,016",,"12,228","12,360","3,633",906,"5,811","13,962","48,900",,"13,483","13,210","4,067",966,"6,047","15,195","52,969",,"14,619","14,206","4,566","1,023","6,252","16,540","57,205"
2GMEL,206,20602,,SA3,Darebin - South,"6,433","5,558","1,768",365,"2,438","6,953","23,515",,"6,814","6,065","1,909",391,"2,612","7,546","25,336",,"7,146","6,564","2,041",419,"2,758","8,137","27,064",,"7,512","7,091","2,183",442,"2,920","8,729","28,878",,"7,935","7,625","2,344",464,"3,031","9,339","30,737"
2GMEL,206,20603,,SA3,Essendon,"8,592","6,761","2,553",586,"2,098","8,902","29,492",,"9,593","7,761","2,826",647,"2,305","10,014","33,147",,"10,623","8,664","3,132",699,"2,455","11,112","36,686",,"11,603","9,457","3,472",746,"2,592","12,205","40,074",,"12,563","10,271","3,854",794,"2,710","13,341","43,533"
2GMEL,206,20604,,SA3,Melbourne City,"6,598","17,310","2,924","2,455","14,422","25,431","69,140",,"9,524","24,931","4,057","3,188","18,952","35,136","95,789",,"12,504","30,464","5,156","3,391","20,147","42,100","113,763",,"15,232","33,309","6,653","3,420","20,242","47,367","126,223",,"17,432","35,375","8,670","3,474","20,398","52,063","137,413"
2GMEL,206,20605,,SA3,Port Phillip,"8,692","15,236","3,193",842,"5,209","22,205","55,378",,"9,495","16,963","3,639",942,"5,613","25,041","61,693",,"10,303","18,919","4,085","1,105","6,266","28,041","68,719",,"11,253","21,268","4,559","1,269","7,038","31,167","76,555",,"12,491","24,252","5,158","1,423","7,834","34,776","85,934"
2GMEL,206,20606,,SA3,Stonnington - West,"4,847","9,762","1,836",632,"4,051","13,426","34,554",,"5,438","11,005","2,012",677,"4,420","15,169","38,721",,"6,115","11,672","2,232",695,"4,521","16,589","41,825",,"6,888","12,162","2,572",714,"4,630","17,982","44,948",,"7,668","12,727","3,024",738,"4,764","19,348","48,269"
2GMEL,206,20607,,SA3,Yarra,"7,021","12,298","3,102",796,"6,434","14,438","44,089",,"8,027","14,134","3,528",869,"6,982","16,691","50,230",,"9,219","15,424","4,035",927,"7,217","18,756","55,578",,"10,399","16,503","4,659",978,"7,474","20,719","60,731",,"11,492","17,744","5,346","1,034","7,785","22,713","66,114"
2GMEL,207,20701,,SA3,Boroondara,"24,277","16,369","5,571","1,097","3,735","16,862","67,911",,"25,201","17,985","5,800","1,165","3,963","18,015","72,128",,"26,205","19,272","6,008","1,220","4,113","19,148","75,966",,"27,364","20,485","6,296","1,280","4,326","20,359","80,110",,"28,792","21,638","6,631","1,317","4,487","21,501","84,367"
2GMEL,207,20702,,SA3,Manningham - West,"13,651","9,747","3,526",491,873,"7,007","35,295",,"14,624","10,694","3,809",533,961,"7,699","38,319",,"15,499","11,468","4,066",559,"1,004","8,222","40,818",,"16,333","12,160","4,301",587,"1,048","8,667","43,095",,"17,109","12,903","4,531",611,"1,094","9,068","45,315"
2GMEL,207,20703,,SA3,Whitehorse - West,"13,717","9,365","3,941",652,"2,740","10,066","40,482",,"15,037","10,482","4,250",749,"3,147","10,936","44,602",,"16,462","11,557","4,565",810,"3,307","11,707","48,408",,"18,024","12,554","4,950",848,"3,443","12,535","52,355",,"19,584","13,510","5,423",876,"3,551","13,406","56,350"
2GMEL,208,20801,,SA3,Bayside,"14,976","10,339","3,500",326,895,"10,048","40,084",,"15,490","11,535","3,657",363,982,"10,849","42,875",,"15,810","12,581","3,786",395,"1,051","11,670","45,293",,"16,157","13,605","3,911",418,"1,116","12,513","47,722",,"16,807","14,474","4,061",421,"1,159","13,248","50,171"
2GMEL,208,20802,,SA3,Glen Eira,"21,008","15,054","5,099",860,"3,674","16,387","62,082",,"22,371","16,345","5,392",926,"3,875","17,384","66,293",,"23,681","17,578","5,701",987,"4,071","18,471","70,489",,"24,997","18,899","6,052","1,064","4,356","19,714","75,082",,"26,319","20,273","6,458","1,117","4,570","20,966","79,703"
2GMEL,208,20803,,SA3,Kingston,"16,555","12,243","5,251",534,"1,465","13,913","49,962",,"17,366","13,418","5,617",573,"1,559","15,021","53,554",,"18,029","14,597","5,959",615,"1,650","16,172","57,022",,"18,645","15,942","6,295",672,"1,779","17,462","60,796",,"19,402","17,436","6,637",720,"1,897","18,823","64,916"
2GMEL,208,20804,,SA3,Stonnington - East,"5,675","4,299","1,256",288,"1,177","4,777","17,472",,"6,063","4,752","1,343",313,"1,260","5,188","18,919",,"6,423","5,102","1,425",338,"1,316","5,529","20,133",,"6,797","5,471","1,509",353,"1,379","5,868","21,377",,"7,231","5,828","1,619",364,"1,413","6,210","22,664"
2GMEL,209,20901,,SA3,Banyule,"17,391","12,524","5,297",689,"1,654","11,999","49,555",,"18,019","13,350","5,551",713,"1,711","12,758","52,102",,"18,519","14,019","5,832",747,"1,747","13,542","54,406",,"18,974","14,758","6,108",802,"1,840","14,402","56,885",,"19,515","15,755","6,393",861,"1,966","15,283","59,772"
2GMEL,209,20902,,SA3,Darebin - North,"11,395","9,139","4,231",790,"2,898","10,809","39,263",,"12,742","10,059","4,672",857,"3,148","11,823","43,302",,"14,156","10,917","5,144",917,"3,335","12,844","47,312",,"15,519","11,830","5,696",996,"3,569","13,987","51,598",,"16,885","13,003","6,303","1,087","3,848","15,337","56,463"
2GMEL,209,20903,,SA3,Nillumbik - Kinglake,"11,123","6,146","2,127",137,306,"3,632","23,470",,"10,948","7,057","2,163",142,316,"4,098","24,725",,"10,929","7,769","2,215",143,315,"4,588","25,959",,"11,043","8,269","2,272",148,319,"5,079","27,129",,"11,321","8,610","2,356",152,316,"5,495","28,249"
2GMEL,209,20904,,SA3,Whittlesea - Wallan,"33,301","17,565","9,765",970,"2,058","12,710","76,370",,"40,516","21,569","11,732","1,086","2,320","15,325","92,548",,"48,093","25,191","14,059","1,176","2,520","18,033","109,073",,"55,928","29,717","16,791","1,331","2,872","21,236","127,876",,"63,276","35,407","19,417","1,516","3,323","24,651","147,590"
2GMEL,210,21001,,SA3,Keilor,"8,671","6,133","2,688",327,493,"5,055","23,368",,"9,235","6,478","2,892",351,521,"5,423","24,901",,"9,800","6,777","3,075",381,545,"5,737","26,315",,"10,331","7,182","3,241",409,585,"6,083","27,831",,"10,909","7,744","3,431",438,629,"6,433","29,585"
2GMEL,210,21002,,SA3,Macedon Ranges,"4,618","3,365",924,36,154,"1,987","11,084",,"4,918","3,884","1,007",41,168,"2,272","12,290",,"5,247","4,365","1,107",45,180,"2,589","13,532",,"5,606","4,822","1,222",51,188,"2,891","14,780",,"6,045","5,294","1,354",56,198,"3,150","16,098"
2GMEL,210,21003,,SA3,Moreland - North,"10,047","7,209","3,357",564,"1,387","7,850","30,416",,"11,490","7,834","3,674",600,"1,483","8,427","33,508",,"12,807","8,323","4,021",625,"1,525","8,909","36,210",,"13,955","8,885","4,429",672,"1,620","9,516","39,075",,"15,015","9,699","4,887",741,"1,789","10,325","42,455"
2GMEL,210,21004,,SA3,Sunbury,"5,732","3,747","1,951",167,348,"3,195","15,141",,"6,370","4,527","2,188",189,396,"3,799","17,469",,"7,235","5,336","2,497",214,443,"4,497","20,223",,"8,300","6,218","2,881",245,498,"5,284","23,427",,"9,538","7,232","3,323",281,566,"6,146","27,085"
2GMEL,210,21005,,SA3,Tullamarine - Broadmeadows,"24,869","10,002","7,631",715,"1,272","8,347","52,836",,"31,416","13,395","9,191",829,"1,446","10,203","66,480",,"36,593","16,174","10,819",881,"1,518","11,895","77,881",,"40,201","18,607","12,409","1,029","1,637","13,366","87,248",,"43,114","21,332","14,009","1,161","1,811","14,839","96,266"
2GMEL,211,21101,,SA3,Knox,"23,213","14,779","6,668",612,"1,391","12,170","58,833",,"23,568","16,407","6,904",634,"1,431","13,292","62,237",,"24,298","17,767","7,251",654,"1,456","14,424","65,851",,"25,129","18,896","7,676",683,"1,503","15,569","69,457",,"26,123","20,074","8,151",721,"1,592","16,663","73,324"
2GMEL,211,21102,,SA3,Manningham - East,"4,339","2,465",769,65,125,"1,483","9,245",,"4,211","2,732",778,69,133,"1,608","9,531",,"4,145","2,949",798,71,139,"1,732","9,834",,"4,156","3,114",803,72,141,"1,833","10,121",,"4,260","3,200",827,71,138,"1,899","10,394"
2GMEL,211,21103,,SA3,Maroondah,"15,535","10,888","4,961",486,"1,309","10,796","43,975",,"16,278","11,935","5,258",511,"1,381","11,736","47,100",,"16,953","12,860","5,593",537,"1,447","12,658","50,048",,"17,660","13,773","5,971",574,"1,535","13,628","53,141",,"18,486","14,855","6,378",619,"1,656","14,665","56,660"
2GMEL,211,21104,,SA3,Whitehorse - East,"8,959","6,157","2,321",270,774,"5,543","24,024",,"9,363","6,474","2,436",285,821,"5,835","25,216",,"9,830","6,788","2,573",304,868,"6,173","26,538",,"10,333","7,145","2,709",325,919,"6,509","27,940",,"10,899","7,566","2,844",340,964,"6,830","29,443"
2GMEL,211,21105,,SA3,Yarra Ranges,"21,263","15,836","6,665",479,"1,251","12,168","57,663",,"21,634","17,429","6,882",490,"1,284","13,344","61,062",,"22,214","18,708","7,152",497,"1,305","14,552","64,429",,"22,930","19,795","7,563",523,"1,347","15,749","67,907",,"23,830","20,872","8,002",548,"1,394","16,821","71,466"
2GMEL,212,21201,,SA3,Cardinia,"13,939","8,843","4,320",304,800,"6,553","34,759",,"17,664","11,286","5,380",400,"1,010","8,272","44,012",,"20,988","13,139","6,370",443,"1,113","9,872","51,924",,"23,570","15,029","7,361",486,"1,255","11,437","59,138",,"25,424","17,069","8,191",541,"1,410","12,922","65,558"
2GMEL,212,21202,,SA3,Casey - North,"20,351","10,589","5,527",511,"1,154","7,939","46,071",,"21,064","12,219","5,884",535,"1,239","8,866","49,807",,"21,735","13,631","6,210",556,"1,285","9,711","53,128",,"22,552","14,856","6,580",584,"1,335","10,556","56,463",,"23,508","15,955","7,004",617,"1,391","11,394","59,870"
2GMEL,212,21203,,SA3,Casey - South,"27,116","11,823","6,867",640,"1,225","7,977","55,650",,"35,940","16,794","9,125",853,"1,623","10,661","74,995",,"43,279","20,775","11,275",986,"1,886","13,192","91,393",,"49,004","24,690","13,341","1,155","2,156","15,586","105,932",,"53,173","28,863","15,061","1,304","2,422","17,958","118,780"
2GMEL,212,21204,,SA3,Dandenong,"25,364","14,673","8,772","1,363","3,100","14,064","67,337",,"27,693","16,083","9,460","1,439","3,304","15,222","73,200",,"30,202","17,262","10,314","1,518","3,462","16,516","79,273",,"32,603","18,336","11,325","1,629","3,698","17,887","85,478",,"34,804","19,558","12,323","1,760","3,982","19,307","91,734"
2GMEL,212,21205,,SA3,Monash,"24,419","16,424","6,592","1,152","4,360","13,190","66,136",,"26,397","17,911","7,077","1,255","4,892","14,326","71,858",,"28,640","19,227","7,577","1,328","5,144","15,349","77,265",,"31,007","20,425","8,134","1,408","5,403","16,342","82,719",,"33,367","21,839","8,827","1,484","5,610","17,394","88,522"
2GMEL,213,21301,,SA3,Brimbank,"25,805","13,773","10,136","1,335","2,317","12,241","65,607",,"26,699","15,344","10,629","1,384","2,400","13,356","69,811",,"27,641","16,630","11,295","1,435","2,459","14,516","73,976",,"28,613","17,680","12,038","1,510","2,557","15,666","78,065",,"29,732","18,706","12,848","1,595","2,720","16,785","82,385"
2GMEL,213,21302,,SA3,Hobsons Bay,"11,870","8,521","3,853",533,"1,177","8,797","34,750",,"12,384","9,326","4,072",559,"1,227","9,512","37,080",,"12,945","10,121","4,402",604,"1,290","10,345","39,708",,"13,450","10,959","4,762",663,"1,404","11,238","42,476",,"13,945","11,847","5,113",717,"1,528","12,102","45,252"
2GMEL,213,21303,,SA3,Maribyrnong,"9,681","8,381","3,344",775,"3,339","9,483","35,003",,"11,253","9,832","3,862",879,"3,811","11,101","40,738",,"13,468","11,539","4,691","1,005","4,321","13,374","48,398",,"15,580","13,083","5,598","1,130","4,846","15,664","55,899",,"17,364","14,589","6,516","1,216","5,251","17,839","62,776"
2GMEL,213,21304,,SA3,Melton - Bacchus Marsh,"23,580","11,559","7,256",582,"1,185","9,161","53,322",,"29,393","14,898","9,064",722,"1,437","11,397","66,911",,"36,049","18,606","11,197",891,"1,739","14,074","82,556",,"43,511","23,440","13,699","1,110","2,123","17,285","101,168",,"51,328","29,313","16,340","1,329","2,542","20,864","121,717"
2GMEL,213,21305,,SA3,Wyndham,"35,557","16,359","9,293",850,"2,119","11,918","76,096",,"47,297","21,625","12,139","1,051","2,582","14,941","99,634",,"55,864","25,595","15,183","1,177","2,853","18,194","118,866",,"62,847","30,170","18,254","1,382","3,342","21,642","137,636",,"69,618","36,139","21,254","1,625","3,989","25,450","158,075"
2GMEL,214,21401,,SA3,Frankston,"17,155","13,119","7,863",682,"1,921","15,195","55,935",,"17,720","14,341","8,230",695,"1,981","16,484","59,451",,"18,171","15,409","8,588",708,"2,027","17,722","62,625",,"18,607","16,450","9,057",750,"2,122","19,047","66,032",,"19,169","17,667","9,565",796,"2,235","20,459","69,892"
2GMEL,214,21402,,SA3,Mornington Peninsula,"19,185","20,423","7,052",449,"1,371","18,304","66,785",,"19,659","22,720","7,360",481,"1,460","20,158","71,838",,"20,241","24,775","7,672",511,"1,522","21,923","76,645",,"21,084","26,643","8,045",543,"1,598","23,622","81,536",,"22,293","28,385","8,513",569,"1,665","25,172","86,597"
2RVIC,215,21501,,SA3,Grampians,"6,165","8,048","2,362",206,698,"8,663","26,143",,"5,956","8,144","2,303",204,688,"8,775","26,070",,"5,850","8,138","2,267",202,676,"8,882","26,014",,"5,780","8,003","2,277",202,670,"8,970","25,901",,"5,739","7,776","2,287",197,656,"8,993","25,649"
2RVIC,215,21502,,SA3,Mildura,"6,071","6,234","2,676",228,739,"6,527","22,477",,"6,214","6,741","2,757",240,774,"6,982","23,708",,"6,433","7,155","2,838",245,791,"7,463","24,925",,"6,693","7,475","2,972",253,811,"7,984","26,188",,"6,974","7,729","3,133",260,839,"8,507","27,442"
2RVIC,215,21503,,SA3,Murray River - Swan Hill,"4,150","4,960","1,402",142,535,"5,022","16,210",,"4,033","5,075","1,369",142,527,"5,134","16,280",,"3,929","5,126","1,346",141,517,"5,266","16,325",,"3,842","5,123","1,355",140,522,"5,402","16,383",,"3,783","5,077","1,353",138,520,"5,492","16,363"
2RVIC,216,21601,,SA3,Campaspe,"4,238","4,994","1,618",104,380,"4,501","15,835",,"4,160","5,244","1,604",105,391,"4,719","16,223",,"4,176","5,415","1,612",111,404,"4,947","16,664",,"4,277","5,505","1,651",110,417,"5,169","17,130",,"4,401","5,530","1,719",109,424,"5,364","17,547"
2RVIC,216,21602,,SA3,Moira,"3,117","4,097","1,290",66,320,"3,715","12,606",,"3,095","4,349","1,306",70,346,"3,949","13,115",,"3,169","4,529","1,342",70,365,"4,200","13,674",,"3,300","4,628","1,411",72,379,"4,411","14,200",,"3,450","4,663","1,476",72,384,"4,604","14,650"
2RVIC,216,21603,,SA3,Shepparton,"7,625","6,922","3,035",236,804,"7,157","25,778",,"7,839","7,504","3,140",244,845,"7,695","27,267",,"8,180","8,059","3,297",254,887,"8,357","29,033",,"8,577","8,533","3,490",269,940,"9,068","30,878",,"8,994","8,956","3,695",277,992,"9,713","32,627"
2RVIC,217,21701,,SA3,Glenelg - Southern Grampians,"3,920","4,877","1,523",99,380,"5,193","15,993",,"3,714","5,133","1,471",99,387,"5,446","16,250",,"3,534","5,259","1,433",100,376,"5,676","16,378",,"3,381","5,234","1,403",101,363,"5,849","16,331",,"3,250","5,094","1,386",99,362,"5,954","16,144"
2RVIC,217,21703,,SA3,Colac - Corangamite,"4,138","4,805","1,547",142,451,"5,134","16,217",,"4,000","5,056","1,523",144,453,"5,323","16,500",,"3,911","5,238","1,501",139,450,"5,533","16,772",,"3,887","5,329","1,526",140,458,"5,768","17,107",,"3,900","5,320","1,576",138,455,"5,982","17,371"
2RVIC,217,21704,,SA3,Warrnambool,"5,866","6,119","2,178",191,752,"6,110","21,215",,"6,009","6,599","2,240",198,767,"6,546","22,360",,"6,192","7,019","2,323",204,761,"7,007","23,506",,"6,385","7,376","2,430",213,795,"7,498","24,696",,"6,601","7,661","2,548",217,829,"7,986","25,842"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2RVIC,201,,,SA4,Ballarat,"17,819","18,389","7,562",533,"2,750","20,277","67,329",,"19,081","20,532","8,053",570,"2,894","22,344","73,474",,"20,542","22,504","8,672",604,"3,033","24,595","79,950",,"22,052","24,219","9,399",646,"3,248","26,949","86,513",,"23,596","25,788","10,158",679,"3,428","29,307","92,955"
2RVIC,202,,,SA4,Bendigo,"17,481","18,069","7,417",615,"2,477","18,816","64,876",,"18,843","20,010","7,913",655,"2,606","20,497","70,525",,"20,437","21,742","8,517",689,"2,698","22,255","76,339",,"22,045","23,317","9,206",726,"2,850","24,074","82,219",,"23,669","24,899","9,932",750,"2,995","25,902","88,147"
2RVIC,203,,,SA4,Geelong,"34,322","31,880","12,820","1,075","4,131","31,367","115,596",,"38,829","37,081","14,207","1,212","4,661","35,652","131,642",,"43,487","41,810","15,713","1,318","5,033","40,116","147,477",,"47,884","46,191","17,418","1,429","5,459","44,977","163,357",,"51,885","50,588","19,392","1,555","5,951","50,208","179,578"
2RVIC,204,,,SA4,Hume,"18,938","22,587","7,558",509,"2,019","21,619","73,230",,"19,667","24,685","7,888",547,"2,157","23,626","78,568",,"20,505","26,641","8,323",590,"2,279","25,838","84,175",,"21,537","28,259","8,866",625,"2,444","28,108","89,838",,"22,619","29,643","9,406",654,"2,584","30,280","95,185"
2RVIC,205,,,SA4,Latrobe - Gippsland,"29,663","36,573","12,630",818,"3,138","36,311","119,133",,"30,933","40,250","13,211",850,"3,317","39,794","128,355",,"32,187","43,471","13,865",888,"3,450","43,620","137,481",,"33,710","46,514","14,781",951,"3,712","47,758","147,426",,"35,295","49,328","15,696","1,005","3,960","51,798","157,082"
2GMEL,206,,,SA4,Melbourne - Inner,"51,682","76,826","18,259","6,453","39,769","102,413","295,403",,"59,899","92,305","21,270","7,573","46,514","122,370","349,931",,"68,139","104,067","24,314","8,142","49,176","138,697","392,534",,"76,369","113,000","28,164","8,536","50,943","153,364","430,377",,"84,199","122,201","32,961","8,950","52,775","168,121","469,206"
2GMEL,207,,,SA4,Melbourne - Inner East,"51,645","35,482","13,037","2,241","7,348","33,935","143,688",,"54,862","39,160","13,859","2,447","8,071","36,650","155,049",,"58,167","42,297","14,639","2,589","8,423","39,078","165,193",,"61,721","45,199","15,548","2,716","8,816","41,561","175,560",,"65,485","48,051","16,585","2,804","9,132","43,976","186,032"
2GMEL,208,,,SA4,Melbourne - Inner South,"58,215","41,935","15,106","2,008","7,211","45,125","169,600",,"61,290","46,051","16,009","2,175","7,675","48,442","181,641",,"63,944","49,857","16,871","2,335","8,088","51,842","192,937",,"66,596","53,917","17,768","2,506","8,631","55,558","204,976",,"69,760","58,011","18,776","2,623","9,039","59,248","217,455"
2GMEL,209,,,SA4,Melbourne - North East,"73,209","45,374","21,419","2,587","6,917","39,151","188,657",,"82,225","52,036","24,119","2,797","7,495","44,005","212,676",,"91,698","57,897","27,250","2,983","7,917","49,007","236,751",,"101,463","64,574","30,867","3,278","8,600","54,705","263,487",,"110,996","72,774","34,469","3,616","9,453","60,765","292,073"
